Date,Tim_Trend_2,Abraham Trading Company _Diversified Program_6,Dunn Capital Management _World Monetary & Agriculture Program_81,Eckhardt Trading Company _ Evolution Strategy_84,EMC Capital _ EMC Classic Program_92,Insch_Kintillo_111,Japan - DFA Japan_DFJSX_114,Kerrisdale Capital_Research Activism_121,MAK Capital _ Multi-Strategy_140,Mark J. Walsh _ Standard Program_142,Millburn Ridgefield _ Diversified Program_146,Rabar Market Research_Diversified Program_165,Whale Rock_Long/Short Equity_214,Winton Capital_Futures Program_215
1980-01-31,,,,,,,,,,,0.2046,,,
1980-02-29,,,,,,,,,,,0.0415,,,
1980-03-31,,,,,,,,,,,0.0941,,,
1980-04-30,,,,,,,,,,,-0.0184,,,
1980-05-31,,,,,,,,,,,0.0476,,,
1980-06-30,,,,,,,,,,,0.0342,,,
1980-07-31,,,,,,,,,,,0.0189,,,
1980-08-31,,,,,,,,,,,-0.0145,,,
1980-09-30,,,,,,,,,,,-0.0086,,,
1980-10-31,,,,,,,,,,,0.0768,,,
1980-11-30,,,,,,,,,,,0.042,,,
1980-12-31,,,,,,,,,,,0.0594,,,
1981-01-31,,,,,,,,,,,0.1141,,,
1981-02-28,,,,,,,,,,,0.1037,,,
1981-03-31,,,,,,,,,,,-0.0734,,,
1981-04-30,,,,,,,,,,,0.0908,,,
1981-05-31,,,,,,,,,,,0.076,,,
1981-06-30,,,,,,,,,,,0.1024,,,
1981-07-31,,,,,,,,,,,0.066,,,
1981-08-31,,,,,,,,,,,0.0029,,,
1981-09-30,,,,,,,,,,,-0.0257,,,
1981-10-31,,,,,,,,,,,-0.0339,,,
1981-11-30,,,,,,,,,,,0.0737,,,
1981-12-31,,,,,,,,,,,-0.0769,,,
1982-01-31,,,,,,,,,,,0.0434,,,
1982-02-28,,,,,,,,,,,0.0856,,,
1982-03-31,,,,,,,,,,,0.0984,,,
1982-04-30,,,,,,,,,,,-0.003,,,
1982-05-31,,,,,,,,,,,0.0004,,,
1982-06-30,,,,,,,,,,,0.0867,,,
1982-07-31,,,,,,,,,,,-0.0824,,,
1982-08-31,,,,,,,,,,,0.032,,,
1982-09-30,,,,,,,,,,,0.0684,,,
1982-10-31,,,,,,,,,,,-0.0272,,,
1982-11-30,,,,,,,,,,,-0.015,,,
1982-12-31,,,,,,,,,,,0.05,,,
1983-01-31,,,,,,,,,,,0.0594,,,
1983-02-28,,,,,,,,,,,-0.0065,,,
1983-03-31,,,,,,,,,,,-0.0124,,,
1983-04-30,,,,,,,,,,,0.0022,,,
1983-05-31,,,,,,,,,,,0.0161,,,
1983-06-30,,,,,,,,,,,-0.0514,,,
1983-07-31,,,,,,,,,,,-0.0025,,,
1983-08-31,,,,,,,,,,,0.0525,,,
1983-09-30,,,,,,,,,,,-0.0104,,,
1983-10-31,,,,,,,,,,,0.021,,,
1983-11-30,,,,,,,,,,,-0.0496,,,
1983-12-31,,,,,,,,,,,-0.0215,,,
1984-01-31,,,,,,,,,,,0.0499,,,
1984-02-29,,,,,,,,,,,0.0067,,,
1984-03-31,,,,,,,,,,,0.0158,,,
1984-04-30,,,,,,,,,,,0.0262,,,
1984-05-31,,,,,,,,,,,0.0461,,,
1984-06-30,,,,,,,,,,,-0.0413,,,
1984-07-31,,,,,,,,,,,0.1762,,,
1984-08-31,,,,,,,,,,,-0.0762,,,
1984-09-30,,,,,,,,,,,0.0423,,,
1984-10-31,,,,,,,,,,,-0.0183,,,
1984-11-30,,,-0.1095,,,,,,,,-0.0471,,,
1984-12-31,,,0.1801,,,,,,,,0.0936,,,
1985-01-31,,,0.0623,,0.267,,,,,,0.0553,,,
1985-02-28,,,0.1003,,0.231,,,,,,0.0753,,,
1985-03-31,,,-0.0725,,-0.203,,,,,,-0.0346,,,
1985-04-30,,,-0.1309,,-0.278,,,,,,-0.0121,,,
1985-05-31,,,0.2166,,0.725,,,,,,-0.0281,,,
1985-06-30,,,-0.0679,,-0.225,,,,,,-0.0109,,,
1985-07-31,,,-0.0836,,0.292,,,,,,0.1307,,,
1985-08-31,,,-0.1348,,-0.188,,,,,,-0.0219,,,
1985-09-30,,,-0.3068,,-0.269,,,,,-0.02,-0.1132,,,
1985-10-31,,,0.0669,,-0.066,,,,,-0.016,0.0779,,,
1985-11-30,,,0.1361,,0.47,,,,,0.134,0.1132,,,
1985-12-31,,,0.1002,,0.2,,,,,0.116,0.0606,,,
1986-01-31,,,-0.015,,0.336,,0.15,,,-0.061,0.0423,,,
1986-02-28,,,0.2455,,0.842,,0.0417,,,0.312,0.1488,,,
1986-03-31,,,0.1193,,0.233,,0.1027,,,0.09,0.0216,,,
1986-04-30,,,-0.0559,,-0.098,,0.0242,,,0.111,-0.0512,,,
1986-05-31,,,-0.0598,,-0.052,,0.1604,,,-0.084,-0.0178,,,
1986-06-30,,,-0.1398,,-0.147,,0.0261,,,0.051,-0.0685,,,
1986-07-31,,,-0.042,,0.066,,-0.036,,,0.067,0.0533,,,
1986-08-31,,,0.1245,,0.072,,-0.1011,,,0.024,0.0632,,,
1986-09-30,,,0.0064,,-0.003,,-0.0609,,,-0.227,-0.1413,,,
1986-10-31,,,-0.0279,,-0.069,,0.032,,,-0.017,-0.0514,,,
1986-11-30,,,-0.0618,,0.0,,0.0739,,,-0.057,-0.0508,,,
1986-12-31,,,-0.0011,,0.0,,0.0323,,,0.069,-0.007,,,
1987-01-31,,,0.0881,,0.274,,0.054,,,0.157,0.1458,,,
1987-02-28,,,-0.0175,,-0.093,,0.0822,,,-0.039,0.0067,,,
1987-03-31,,,0.0718,,0.156,,0.0631,,,0.093,0.034,,,
1987-04-30,,,0.3163,,1.083,,0.0995,,,0.443,0.0915,,,
1987-05-31,,,-0.0269,,-0.01,,0.0425,,,0.145,-0.025,,,
1987-06-30,,,-0.0461,,-0.037,,0.0249,,,-0.002,-0.025,,,
1987-07-31,,,0.0597,,0.099,,0.1385,,,0.101,0.0146,,,
1987-08-31,,,-0.0298,,-0.131,,-0.0062,,,-0.079,-0.026,,,
1987-09-30,,,0.055,,0.067,,-0.0211,,,0.027,-0.0445,,,
1987-10-31,,,-0.0559,,-0.061,,0.0507,,,-0.126,0.0197,,,
1987-11-30,,,0.1776,,0.016,,-0.0752,,,0.223,0.0899,,,
1987-12-31,,,0.0196,,0.078,,0.0365,,,0.089,0.0896,,,
1988-01-31,,0.0417,0.0073,,0.033,,0.0622,,,-0.053,-0.0799,,,
1988-02-29,,-0.0259,0.0434,,0.094,,0.0664,,,-0.048,0.0187,,,
1988-03-31,,-0.0878,-0.0655,,-0.058,,0.063,,,-0.142,-0.0354,,,
1988-04-30,,-0.1235,-0.0247,,-0.166,,0.0642,,,-0.241,-0.0137,,,
1988-05-31,,0.3234,0.0388,,0.095,,-0.0377,,,0.073,0.0684,,,
1988-06-30,,0.7199,-0.0056,,0.771,,-0.0599,,,0.686,0.1663,,,
1988-07-31,,-0.0282,-0.0183,,-0.196,,-0.0359,,,-0.107,-0.0769,,,
1988-08-31,,0.0345,-0.0265,,0.046,,0.003,,,-0.141,0.0003,,,
1988-09-30,,-0.0198,0.0198,,0.105,,0.0528,,,0.027,0.0098,,,
1988-10-31,,0.0801,0.0192,,0.158,,0.1043,,,0.217,0.0165,,,
1988-11-30,,0.1783,-0.0072,,0.085,,-0.0719,,,0.081,0.0583,,,
1988-12-31,,0.0451,-0.167,,0.119,,0.0722,,,0.129,-0.0344,,,
1989-01-31,,-0.0805,0.211,,-0.041,,0.0191,,,0.051,0.032,-0.0077,,
1989-02-28,,-0.1264,-0.0423,,-0.024,,-0.0124,,,-0.002,-0.0383,-0.0357,,
1989-03-31,,0.1391,0.093,,0.171,,0.0576,,,0.151,0.0709,0.1382,,
